UBIGEO,lon,lat,altitud,densidad,area_km2,person_years,deaths,estrato,n_cells,crude_rate,res_m1,res_m2a,res_m2b,dev_m1,dev_m2b,expected_m1,SMR_m1
151026,-76.1055215796992,-12.2458290835559,4348.04577464789,0.74,75.6,1239.30061349693,0,>3500,,0,-0.128317568165998,-0.0459241068867345,-0.0407770621278443,-0.181468445191089,-0.0576674742949276,0.0164653983000356,0
151027,-76.1860934678057,-12.4929819500544,3528.64695498676,1.13,100.3,2115.29241877256,0,>3500,,0,-0.125561975962272,-0.0588552541100742,-0.0532692807452621,-0.177571449324209,-0.0753341392878096,0.0157658098075501,0
151028,-75.9913264034132,-12.132023966342,4660.15838031779,11.68,345.8,4031.00199203187,0,>3500,,0,-0.254728158059563,-0.310157903714406,-0.316703896739743,-0.360240015846152,-0.447886946025752,0.0648864345084178,0
151029,-76.1814422248931,-12.683159340715,2902.33754782898,0.87,530.4,3910.05040322581,0,2500-3500,,0,-0.130257549792628,-0.0583381045416221,-0.0520036982421929,-0.184211993518224,-0.0735443353476671,0.0169670292779791,0
151030,-75.7068299765504,-12.1639150587121,4498.95057610673,10.86,291.4,3816.7578125,0,>3500,,0,-0.236077458007718,-0.28180125213555,-0.286589699502503,-0.33386394288508,-0.40529903987287,0.0557325661793859,0
151031,-75.7360680961875,-12.6902962369342,4185.15803897686,3.14,290.1,3895.24151696607,0,>3500,,0,-0.215780556633923,-0.150803460511199,-0.143960813601035,-0.30515978968811,-0.203591335044848,0.0465612486212457,0
151032,-75.7704298207224,-12.8875664648244,3634.66722783389,1.54,156.9,12967.0495716034,0,>3500,,0,-0.323883668365732,-0.172759153590748,-0.158870009705473,-0.458040676433968,-0.224676122379826,0.104900630634043,0
151033,-75.8574351935784,-12.1695323964374,4470.81634372367,11.1,104.9,2151.78397212544,0,>3500,,0,-0.175725798754775,-0.21234552706091,-0.216177592211583,-0.248513807857848,-0.305721282786781,0.0308795563480037,0
160101,-73.4326239482953,-3.78227475843856,107.308620689655,16.27,366.9,1308337.52971344,1,lowland (<500 m),,0.764328758664463,40.2672030757628,6.82269074286172,6.83576246464022,3.57573011726562,2.41095667795534,0.00061597328586442,1623.44702757143
160102,-74.2857396719124,-3.36157292737811,157.827232051433,21.11,14554.3,26304.2724448587,0,lowland (<500 m),,0,-0.0060027250641531,-0.0338272413064397,-0.0343494538848878,-0.00848913519692222,-0.0485774635441176,3.60327081958118e-05,0
160103,-73.11481295319,-4.27908988744555,123.253962607218,21.97,4569.2,112690.485540439,0,lowland (<500 m),,0,-0.00882358599361972,-0.0555282877533926,-0.0563532303149992,-0.0124784349809423,-0.0796955025950065,7.78556697868021e-05,0
160104,-72.8563696924981,-3.82909843764676,122.733531889774,21.71,3367.6,93255.0054421769,0,lowland (<500 m),,0,-0.00797983549394879,-0.0500272032951292,-0.0507377269904696,-0.0112851915810486,-0.0717539816339056,6.3677774510485e-05,0
160105,-72.5289567224007,-3.5682393907024,120.59747175901,20.24,6726.8,67571.3940092166,0,lowland (<500 m),,0,-0.00662956377515953,-0.040527094628651,-0.0409502093662672,-0.00937561900344799,-0.0579123414677928,4.39511158489075e-05,0
160106,-73.7524228465518,-2.99380602527678,138.777025325563,21.24,10051.4,112516.960182675,0,lowland (<500 m),,0,-0.0103900688949933,-0.0616031037128662,-0.0624893740765505,-0.0146937763452904,-0.0883733203232634,0.000107953531642708,0
160107,-74.4074498266219,-2.09913572750531,169.823937836634,19.28,24158.3,141149.28845158,0,lowland (<500 m),,0,-0.0153891558048991,-0.0809855000113609,-0.0819235276645443,-0.0217635528527609,-0.115857363900646,0.000236826116387459,0
160108,-73.4544582821071,-3.53866987425806,123.189340101523,19.63,1602.8,712306.296508717,1,lowland (<500 m),,1.40389043997137,45.0886160782611,7.40948035153273,7.34020254970474,3.63833314982198,2.46607472272918,0.00049140464275596,2034.98280844818
160110,-74.8929332397705,-1.38884927114906,186.396957936415,18.8,6918,40385.17839445,0,lowland (<500 m),,0,-0.00936401790953383,-0.0470537301219277,-0.0475846039740764,-0.0132427211259673,-0.0672947923002916,8.76848314100703e-05,0
160112,-73.2119570963363,-3.81158433969743,97.4610703913705,23.61,653,567323.748698045,0,lowland (<500 m),,0,-0.0143045232858103,-0.101527373440616,-0.103156643833937,-0.0202296508340747,-0.145885524758844,0.00020461938643429,0
160113,-73.6658577137977,-4.14906109034781,134.93499238192,25.71,3199.9,1225477.0848051,0,lowland (<500 m),,0,-0.0329825967027412,-0.215481848851578,-0.220631094594908,-0.0466444355792987,-0.31201948625734,0.00108785168525567,0
160201,-76.1615800720963,-5.84585225802835,163.62957292506,21.38,2234.6,832280.721619949,0,lowland (<500 m),,0,-0.035495544016705,-0.198490130569493,-0.201759613034754,-0.0501982797522354,-0.285331181092897,0.00125993364504184,0
160202,-76.5866281020676,-5.7376066880995,495.688547695445,27.98,3003.7,136031.815748596,0,lowland (<500 m),,0,-0.0665466466795861,-0.277921199489961,-0.289692380338887,-0.0941111702647211,-0.409686893191399,0.00442845618429767,0
160205,-76.2049620074362,-5.2968604420086,162.924035669847,22.38,4345,37261.5411255411,0,lowland (<500 m),,0,-0.00746572067346225,-0.0426907681345459,-0.043492069709289,-0.0105581234292995,-0.0615070748385526,5.57369851741616e-05,0
160206,-75.9763135246374,-4.62809392521759,143.656202554256,22.51,6056.5,109470.299897496,0,lowland (<500 m),,0,-0.0107505227951366,-0.0646011290929832,-0.0657463309009237,-0.0152035351394833,-0.0929793528363556,0.000115573740368752,0
160210,-75.7490339001883,-5.65826666569575,179.561646554462,21.87,2270,34183.146713615,0,lowland (<500 m),,0,-0.00818085571448182,-0.0446434315388518,-0.0454747856476683,-0.0115694771032376,-0.0643110586089419,6.69264002211699e-05,0
160211,-75.8220441752992,-5.98771279347966,178.979213521434,21.36,1319.8,49749.2713916694,0,lowland (<500 m),,0,-0.0098250107009547,-0.0531098182807821,-0.0540327110942037,-0.0138946633837509,-0.07641379284121,9.65308352738744e-05,0
160301,-74.1143170002503,-4.44272802121646,117.326285721913,22.2,6758.2,268593.310019931,0,lowland (<500 m),,0,-0.0127238960184979,-0.0819466100177189,-0.0831648219268192,-0.0179943063155848,-0.117612819081251,0.000161897529889548,0
160302,-74.8633364664073,-5.03890410188475,124.588302705358,18.21,13212.4,49626.5855232101,0,lowland (<500 m),,0,-0.00594335410309059,-0.0342146729650415,-0.03439995164801,-0.0084051719785765,-0.0486488781655944,3.53234579947238e-05,0
160303,-75.2653122002822,-2.94343732117222,174.999752999928,20.37,20113.8,60623.2119486025,0,lowland (<500 m),,0,-0.0105133829418218,-0.05609063012093,-0.0569156338037004,-0.0148681687427463,-0.0804908612362537,0.000110531220881389,0
160304,-75.8370790144252,-3.19625967238458,205.321390308966,22.54,12565.6,86547.0452895089,0,lowland (<500 m),,0,-0.0156713411950659,-0.0824643683402515,-0.0842458453846319,-0.0221626232586384,-0.119141617116533,0.00024559093485217,0
160305,-75.484807784218,-4.27485437403358,140.414791033587,24.22,15765.8,110218.970492771,0,lowland (<500 m),,0,-0.0104517822862455,-0.065480448446513,-0.0668716199138581,-0.0147810522601793,-0.0945707518200368,0.000109239752959076,0
160401,-70.8362415204655,-3.677481014604,108.383541436173,24.12,6889.5,191711.481007785,0,lowland (<500 m),,0,-0.00963245078306059,-0.0663480954242295,-0.0675604461932076,-0.0136223425362956,-0.0955448992864119,9.27841080880846e-05,0
160402,-71.9647202365009,-3.43260666156173,119.516056872953,21.44,11254.5,100989.107195991,0,lowland (<500 m),,0,-0.00800434821718772,-0.0503944562319898,-0.0510637903419142,-0.0113198578067038,-0.0722151048477113,6.40695903819963e-05,0
160403,-72.0327224289544,-4.47778961275681,124.766740509516,20.01,14369.6,80010.0194947285,0,lowland (<500 m),,0,-0.00756148234435948,-0.045405357682989,-0.0458692832792259,-0.0106935508830379,-0.0648689625098147,5.71760152440601e-05,0
160404,-71.3389969641722,-3.86671464144839,107.501377312552,21.23,5099.1,101458.445051033,0,lowland (<500 m),,0,-0.00692857600683977,-0.0451796539407017,-0.0457063702974864,-0.00979848615680562,-0.0646385687615521,4.80051654825557e-05,0
160501,-73.8823779512303,-5.32817713606168,120.49257186392,20.23,3073,223755.93222286,0,lowland (<500 m),,0,-0.0120494624909451,-0.0736668390748915,-0.0744334115843613,-0.0170405132740005,-0.105264740156302,0.000145189546320693,0
160502,-74.1894898317645,-6.81807090485863,219.48358022488,16.98,9062.1,12907.2182587666,0,lowland (<500 m),,0,-0.00663732117520357,-0.029963346576236,-0.0301978657264067,-0.00938658962379901,-0.0427062312650061,4.40540323828057e-05,0
