UBIGEO,altitud,DISTRITO,PROVINCIA,DEPARTAMEN,lon,lat,person_years,deaths,estrato,crude_rate,post_a,post_b,posterior_rate,credible_lower,credible_upper,probability_above_84
081302,3843.94148020654,CHINCHERO,URUBAMBA,CUSCO,-72.0387777169895,-13.4093842056753,98551.6033380387,0,>3500,0,0.0671720204620204,103712.231300077,0.647676938582754,8.06532351509982e-24,7.02667493686949,1.38531009963305e-06
081303,3549.42807825086,HUAYLLABAMBA,URUBAMBA,CUSCO,-72.0498104689551,-13.3418913782481,50472.7293281654,0,>3500,0,0.0671720204620204,55633.3572902037,1.20740547998257,1.50354524452774e-23,13.0991939336256,0.000131658865077156
081304,3456.94945054945,MACHUPICCHU,URUBAMBA,CUSCO,-72.5001626747584,-13.2014598159691,45581.4062775525,0,2500-3500,0,0.0671720204620204,50742.0342395908,1.3237943939112,1.64848081170411e-23,14.3619022619803,0.000213698154858499
081305,3441.37173100872,MARAS,URUBAMBA,CUSCO,-72.1621894633064,-13.3370012542007,54092.5173131223,0,2500-3500,0,0.0671720204620204,59253.1452751607,1.13364480737834,1.41169332703531e-23,12.2989612271023,9.23311619265288e-05
081306,4054.56478658537,OLLANTAYTAMBO,URUBAMBA,CUSCO,-72.3163844314699,-13.2364705545818,94241.2661913761,0,>3500,0,0.0671720204620204,99401.8941534144,0.675761976510716,8.41505793256809e-24,7.33137072014266,2.06275375114195e-06
081307,3617.96268656716,YUCAY,URUBAMBA,CUSCO,-72.0732258921414,-13.2942384127436,27189.3223801066,0,>3500,0,0.0671720204620204,32349.9503421449,2.07641803933498,2.58570009864356e-23,22.5271485308482,0.00141797346583405
090101,4446.92665628784,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,-75.0086246759678,-12.8628460662902,342482.854220369,5,>3500,14.5992709952796,5.06717202046202,347643.482182407,14.5757716746241,4.77812123866578,29.7395198146644,8.24153245648773e-09
090102,4519.86665067754,ACOBAMBILLA,HUANCAVELICA,HUANCAVELICA,-75.3712701162617,-12.7040980244818,14948.9861864825,3,>3500,200.682505326865,3.06717202046202,20109.6141485208,152.522668899026,32.2152446224629,364.557057673751,0.773620968024603
090103,3855.49569175744,ACORIA,HUANCAVELICA,HUANCAVELICA,-74.8235148814105,-12.5995681789624,133977.157885971,2,>3500,14.9279178000045,2.06717202046202,139137.78584801,14.8570139151139,1.89362611700406,40.8782202956169,0.000122682217727266
090104,4035.53978494624,CONAYCA,HUANCAVELICA,HUANCAVELICA,-75.0398192925654,-12.5179576373551,6736.02389078498,0,>3500,0,0.0671720204620204,11896.6518528233,5.6462962262848,7.03116060095069e-23,61.256910376016,0.0157502326184473
090105,3900.8656,CUENCA,HUANCAVELICA,HUANCAVELICA,-75.0558007036799,-12.4599019908883,8449.29292035398,0,>3500,0,0.0671720204620204,13609.9208823923,4.9355188059119,6.14605114266432e-23,53.5456556008256,0.0125213925392937
090106,4556.87454164484,HUACHOCOLPA,HUANCAVELICA,HUANCAVELICA,-74.957001843787,-13.0458793598633,14269.5520338088,0,>3500,0,0.0671720204620204,19430.1799958471,3.45709717956176,4.30501775118278e-23,37.5061958499006,0.00605672060211648
090107,3839.88048780488,HUAYLLAHUARA,HUANCAVELICA,HUANCAVELICA,-75.1829665532964,-12.4014721035009,5281.53010279002,0,>3500,0,0.0671720204620204,10442.1580648284,6.43277185089465,8.01053472581899e-23,69.7894182216674,0.0192916862097036
090108,3380.73571428571,IZCUCHACA,HUANCAVELICA,HUANCAVELICA,-75.0135560061,-12.4963448187036,7303.05349344978,0,2500-3500,0,0.0671720204620204,12463.6814554881,5.38942050965548,6.71128110017334e-23,58.4700546885505,0.014583608731554
090109,4327.88873626374,LARIA,HUANCAVELICA,HUANCAVELICA,-75.0802484537665,-12.5532456429294,5671.37081659973,0,>3500,0,0.0671720204620204,10831.9987786381,6.20125812740039,7.7222377421017e-23,67.2777158875096,0.0182558251389984
090110,4261.70532212885,MANTA,HUANCAVELICA,HUANCAVELICA,-75.1604977613901,-12.6087599105916,7233.01247401247,0,>3500,0,0.0671720204620204,12393.6404360508,5.41987810672879,6.74920901751223e-23,58.8004904679385,0.0147220439333434
090111,3236.31666666667,MARISCAL CACERES,HUANCAVELICA,HUANCAVELICA,-74.9353060595032,-12.5479205602477,3928.63035019455,0,2500-3500,0,0.0671720204620204,9089.25831223289,7.3902642167861,9.20287078630174e-23,80.1772940419421,0.0234929780270615
090112,4037.05855018587,MOYA,HUANCAVELICA,HUANCAVELICA,-75.1317703004528,-12.4637752998406,7126.60351966874,0,>3500,0,0.0671720204620204,12287.2314817071,5.46681492588663,6.80765800785395e-23,59.3097100358214,0.0149353388365862
090113,4514.28607142857,NUEVO OCCORO,HUANCAVELICA,HUANCAVELICA,-75.1392157489072,-12.7077334161855,13552.0350480498,0,>3500,0,0.0671720204620204,18712.6630100881,3.5896558616915,4.47008903787257e-23,38.9443306882718,0.00660136327081984
090114,4140.81768558952,PALCA,HUANCAVELICA,HUANCAVELICA,-74.9791356577617,-12.6695795449673,15007.6927680798,1,>3500,66.632494111748,1.06717202046202,20168.3207301181,52.9132809192374,1.63363710355926,189.837068850029,0.202745216641711
090115,3760.12866817156,PILCHACA,HUANCAVELICA,HUANCAVELICA,-75.0889931954686,-12.4136133276036,4146.15340909091,0,>3500,0,0.0671720204620204,9306.78137112924,7.21753501918462,8.98777638102494e-23,78.3033475551214,0.0227461162310035
090116,4224.81129911098,VILCA,HUANCAVELICA,HUANCAVELICA,-75.2688636068224,-12.5330265942793,14472.848074922,0,>3500,0,0.0671720204620204,19633.4760369603,3.42130045314279,4.26044117879744e-23,37.1178356268231,0.00591158470953157
090117,4079.8746548868,YAULI,HUANCAVELICA,HUANCAVELICA,-74.8290191673901,-12.8171691942206,156901.041591672,2,>3500,12.7468879728977,2.06717202046202,162061.66955371,12.7554654111281,1.62576965836199,35.0959303146898,2.07953988301535e-05
090118,4610.18639308855,ASCENSION,HUANCAVELICA,HUANCAVELICA,-75.1865852839022,-12.8284460959068,151674.187273841,3,>3500,19.7792389985492,3.06717202046202,156834.815235879,19.556703757702,4.13069086786372,46.7440966721147,0.000215249729668354
090119,4086.87296564195,HUANDO,HUANCAVELICA,HUANCAVELICA,-75.013590829117,-12.6272753267041,51338.7621997281,0,>3500,0,0.0671720204620204,56499.3901617664,1.18889815039944,1.48049863107024e-23,12.8984071197323,0.00012091149243354
090201,3429.14112615823,ACOBAMBA,ACOBAMBA,HUANCAVELICA,-74.5663925120144,-12.8233089989575,75537.1418358889,2,2500-3500,26.4770409813119,2.06717202046202,80697.7697979273,25.6162224264482,3.2649594382059,70.4815644296205,0.00986542599318774
090202,3442.00216684724,ANDABAMBA,ACOBAMBA,HUANCAVELICA,-74.6549315034143,-12.6611858541356,24787.6145421357,0,2500-3500,0,0.0671720204620204,29948.242504174,2.24293697543882,2.79306105455571e-23,24.3337196238308,0.00183745555103976
090203,3648.72975609756,ANTA,ACOBAMBA,HUANCAVELICA,-74.6640041560552,-12.8178498451539,34900.506782535,2,>3500,57.3057581215654,2.06717202046202,40061.1347445733,51.6004360246446,6.57682182054515,141.975635428294,0.161922781779371
090204,3235.95514780836,CAJA,ACOBAMBA,HUANCAVELICA,-74.473422981384,-12.8728716662261,14114.9809220986,0,2500-3500,0,0.0671720204620204,19275.6088841369,3.48481964257432,4.33953968943813e-23,37.806958042337,0.00616970648044746
090205,2898.09907597536,MARCAS,ACOBAMBA,HUANCAVELICA,-74.3977840558264,-12.874422437179,11864.9885859226,1,2500-3500,84.281581289211,1.06717202046202,17025.616547961,62.6803744496306,1.93518495899347,224.878487087237,0.261977876581306
090206,4041.74307507025,PAUCARA,ACOBAMBA,HUANCAVELICA,-74.7273881414205,-12.7230537443866,70601.1751589143,0,>3500,0,0.0671720204620204,75761.8031209526,0.886621195575047,1.10408235212217e-23,9.61899144823177,1.88684197899303e-05
090207,3307.8115942029,POMACOCHA,ACOBAMBA,HUANCAVELICA,-74.5200152824861,-12.8615690111385,22462.972082072,0,2500-3500,0,0.0671720204620204,27623.6000441103,2.43168958263071,3.02810892342879e-23,26.3815047698115,0.00237042591073167
090208,3641.499543379,ROSARIO,ACOBAMBA,HUANCAVELICA,-74.60062395755,-12.7427671788319,38769.7319223986,0,>3500,0,0.0671720204620204,43930.3598844369,1.52905691277565,1.9040879703886e-23,16.588804149115,0.000424215212570522
090301,4278.46415215301,LIRCAY,ANGARAES,HUANCAVELICA,-74.7375680786858,-13.1037214336107,203752.017169877,4,>3500,19.6317074822627,4.06717202046202,208912.645131915,19.4682902889572,5.38026015025128,42.449048389076,2.87018672612271e-05
090302,3716.57511737089,ANCHONGA,ANGARAES,HUANCAVELICA,-74.7060355387621,-12.8873219656055,60963.2838966714,0,>3500,0,0.0671720204620204,66123.9118587097,1.01585067449655,1.26500788352528e-23,11.0210076179435,4.74204667428868e-05
090303,3518.81588447653,CALLANMARCA,ANGARAES,HUANCAVELICA,-74.624540797063,-12.878572377331,4731.51104100946,1,>3500,211.348973157347,1.06717202046202,9892.1390030478,107.880815274959,3.33069693531936,387.044186282993,0.466536562460883
090304,4140.93103448276,CCOCHACCASA,ANGARAES,HUANCAVELICA,-74.8051801372252,-12.9350587168496,24823.0310945274,0,>3500,0,0.0671720204620204,29983.6590565657,2.24028762918151,2.78976190440912e-23,24.3049767524449,0.0018303957196204
090305,2717.22392638037,CHINCHO,ANGARAES,HUANCAVELICA,-74.3431950945967,-12.9847652785425,7474.53380423814,0,2500-3500,0,0.0671720204620204,12635.1617662765,5.31627704532474,6.62019777333241e-23,57.6765181011072,0.0142511028561565
090306,3685.30967469371,CONGALLA,ANGARAES,HUANCAVELICA,-74.5404719074713,-12.981801617476,29419.3197598538,0,>3500,0,0.0671720204620204,34579.9477218922,1.94251364988312,2.41895304364044e-23,21.0744140559154,0.00111825975555579
090307,3942.81265406738,HUANCA-HUANCA,ANGARAES,HUANCAVELICA,-74.6264605863695,-12.9647937720587,10860.137737175,1,>3500,92.0798634603807,1.06717202046202,16020.7656992133,66.6117987428293,2.05656319303279,238.98326477747,0.284290776477857
090308,3908.46408839779,HUAYLLAY GRANDE,ANGARAES,HUANCAVELICA,-74.6710827061003,-12.9235690811288,8058.45149592022,0,>3500,0,0.0671720204620204,13219.0794579586,5.08144464035122,6.32776813671684e-23,55.1288112489797,0.0131837369097507
090309,3208.81058020478,JULCAMARCA,ANGARAES,HUANCAVELICA,-74.4309543003198,-13.0125165105623,15062.4111169376,0,2500-3500,0,0.0671720204620204,20223.0390789759,3.32155914843942,4.13623637199806e-23,36.0357379262883,0.00551193321565735
090310,3346.38701298701,SAN ANTONIO DE ANTAPARCO,ANGARAES,HUANCAVELICA,-74.4306672701371,-13.0655208961655,18746.6147938561,0,2500-3500,0,0.0671720204620204,23907.2427558944,2.80969332799613,3.49882546661198e-23,30.4824836458142,0.00359529643044676
090311,3940.57279084552,SANTO TOMAS DE PATA,ANGARAES,HUANCAVELICA,-74.4709875991495,-13.1435539915216,11688.2350260417,0,>3500,0,0.0671720204620204,16848.86298808,3.98673907607548,4.96456466231436e-23,43.2523035434872,0.00828915722905155
090312,4096.22653721683,SECCLLA,ANGARAES,HUANCAVELICA,-74.5415143560182,-13.0808395640054,25736.0027124774,1,>3500,38.8560729951733,1.06717202046202,30896.6306745157,34.5400775801178,1.06638543886212,123.919495668209,0.0840656603939578
090401,4453.3344804512,CASTROVIRREYNA,CASTROVIRREYNA,HUANCAVELICA,-75.2913806190118,-13.1535838531366,25044.1012816505,0,>3500,0,0.0671720204620204,30204.7292436889,2.22389083246147,2.76934347320051e-23,24.1270872002712,0.00178697250008353
090402,4055.23451717053,ARMA,CASTROVIRREYNA,HUANCAVELICA,-75.5111399952039,-13.110479226631,7600.14682539683,1,>3500,131.576405426587,1.06717202046202,12760.7747874352,83.6290929225399,2.58195271133899,300.036240338855,0.37028442988049
090403,4447.46532893066,AURAHUA,CASTROVIRREYNA,HUANCAVELICA,-75.4427836298048,-12.9566675794235,11726.1432274789,0,>3500,0,0.0671720204620204,16886.7711895173,3.97778946064707,4.95341997899064e-23,43.1552087811462,0.00825034610959052
090404,2878.10253025303,CAPILLAS,CASTROVIRREYNA,HUANCAVELICA,-75.6110360088285,-13.3424506996123,7156.08016877637,0,2500-3500,0,0.0671720204620204,12316.7081308147,5.45373160982562,6.79136575312071e-23,59.1677685776953,0.0148758901199711
090405,4442.73181928002,CHUPAMARCA,CASTROVIRREYNA,HUANCAVELICA,-75.5296321984447,-12.8940198041444,7354.20631578947,0,>3500,0,0.0671720204620204,12514.8342778278,5.36739192631797,6.68384957673742e-23,58.2310656413703,0.0144834747814631
090406,3850.44191096634,COCAS,CASTROVIRREYNA,HUANCAVELICA,-75.3630840117356,-13.2741633221675,5789.2599469496,0,>3500,0,0.0671720204620204,10949.8879089879,6.13449388891771,7.63909827078126e-23,66.5533877954024,0.0179559245760363
090407,3922.79386626446,HUACHOS,CASTROVIRREYNA,HUANCAVELICA,-75.4834005542259,-13.2147127443094,6847.89817792069,0,>3500,0,0.0671720204620204,12008.526139959,5.59369398701659,6.96565663561805e-23,60.686226421917,0.015511550755567
090408,3508.69585987261,HUAMATAMBO,CASTROVIRREYNA,HUANCAVELICA,-75.6836500958476,-13.1118314221124,3310.00236966825,0,>3500,0,0.0671720204620204,8470.63033170658,7.92999078363596,9.87497583003907e-23,86.032810757336,0.0257920757054143
090409,3511.56097560976,MOLLEPAMPA,CASTROVIRREYNA,HUANCAVELICA,-75.4319747307177,-13.2918693330402,9440.46867371847,0,>3500,0,0.0671720204620204,14601.0966357568,4.6004777680549,5.72883474971007e-23,49.9107809846565,0.0110075484705839
090410,2575.57612612613,SAN JUAN,CASTROVIRREYNA,HUANCAVELICA,-75.6884893391746,-13.2721290351111,6145.22295514512,0,2500-3500,0,0.0671720204620204,11305.8509171835,5.94135027553985,7.3985824157353e-23,64.457964434632,0.0170857245450313
090411,4716.956694532,SANTA ANA,CASTROVIRREYNA,HUANCAVELICA,-75.1311697958003,-13.0881461237425,6517.66704288939,2,>3500,306.858264903536,2.06717202046202,11678.2950049277,177.009744966176,22.561079766587,487.032144584405,0.760637669901086
090412,3414.65131056394,TANTARA,CASTROVIRREYNA,HUANCAVELICA,-75.6213615961187,-13.1265536066959,5448.05150214592,0,2500-3500,0,0.0671720204620204,10608.6794641843,6.3317984758422,7.88479565936535e-23,68.6939537369743,0.0188407154832113
090413,3132.37969201155,TICRAPO,CASTROVIRREYNA,HUANCAVELICA,-75.4097397373928,-13.4180589524035,12354.161209068,0,2500-3500,0,0.0671720204620204,17514.7891711063,3.83516009275362,4.77580797425692e-23,41.6078166401948,0.00763617752008794
090501,3352.63405088063,CHURCAMPA,CHURCAMPA,HUANCAVELICA,-74.3848799710598,-12.7104939212659,43529.1416696784,0,2500-3500,0,0.0671720204620204,48689.7696317167,1.37959207796835,1.71796396704063e-23,14.9672537339004,0.00026234597342123
090502,3608.95513577332,ANCO,CHURCAMPA,HUANCAVELICA,-74.5630558930949,-12.6435294469951,46111.3434531886,0,>3500,0,0.0671720204620204,51271.9714152269,1.3101119112044,1.63144243300847e-23,14.2134604191684,0.000202713431152191
090503,3278.17094483889,CHINCHIHUASI,CHURCAMPA,HUANCAVELICA,-74.5699463260149,-12.4522549970043,14686.7352793156,0,2500-3500,0,0.0671720204620204,19847.3632413539,3.38443044777157,4.2145280848446e-23,36.7178313542747,0.00576301886564101
090504,3471.13402061856,EL CARMEN,CHURCAMPA,HUANCAVELICA,-74.4974069294124,-12.7114255619378,19927.4755434783,0,2500-3500,0,0.0671720204620204,25088.1035055166,2.67744512642217,3.33414081189538e-23,29.0477172243338,0.00314519132955116
090505,2755.34184914842,LA MERCED,CHURCAMPA,HUANCAVELICA,-74.3297778798053,-12.794899829413,9448.02122241087,0,2500-3500,0,0.0671720204620204,14608.6491844492,4.59809935976315,5.72587299035425e-23,49.8849775309009,0.0109968522936928
090506,3611.43403441683,LOCROJA,CHURCAMPA,HUANCAVELICA,-74.4547170374069,-12.7173461759045,27174.0877192983,1,>3500,36.7997634485381,1.06717202046202,32334.7156813366,33.0039092033206,1.01895799505117,118.408181743896,0.0746744874163642
090507,3826.93829401089,PAUCARBAMBA,CHURCAMPA,HUANCAVELICA,-74.5261980541326,-12.5691439067512,33985.8945862676,1,>3500,29.4239716851256,1.06717202046202,39146.522548306,27.2609660064991,0.841651184228373,97.8042145712527,0.0425638966453878
090508,2705.24316109423,SAN MIGUEL DE MAYOCC,CHURCAMPA,HUANCAVELICA,-74.410004230592,-12.7878914296444,5897.74131274131,0,2500-3500,0,0.0671720204620204,11058.3692747796,6.07431518996356,7.56415957111951e-23,65.9005065046161,0.0176851926174707
090509,3281.66184573003,SAN PEDRO DE CORIS,CHURCAMPA,HUANCAVELICA,-74.4002381823265,-12.6073435361236,27746.9988901221,0,2500-3500,0,0.0671720204620204,32907.6268521604,2.0412295533736,2.5418809495619e-23,22.1453871346308,0.00133585993712781
090510,3332.79386712095,PACHAMARCA,CHURCAMPA,HUANCAVELICA,-74.4604847488017,-12.5053381970835,14579.3259067358,0,2500-3500,0,0.0671720204620204,19739.9538687741,3.40284586826099,4.23746024670893e-23,36.917621042461,0.00583710396627524
090511,3665.69045643154,COSME,CHURCAMPA,HUANCAVELICA,-74.6452424496295,-12.5705094646614,23460.8352365416,0,>3500,0,0.0671720204620204,28621.4631985799,2.34691077797005,2.92253646190068e-23,25.4617358751673,0.00212387983993101
090601,3164.91051454139,HUAYTARA,HUAYTARA,HUANCAVELICA,-75.3927027745262,-13.6535431970107,18846.0067368421,0,2500-3500,0,0.0671720204620204,24006.6346988804,2.79806067383335,3.48433967692686e-23,30.3562804809559,0.003554855334162
090602,3207.69926650367,AYAVI,HUAYTARA,HUANCAVELICA,-75.36824798083,-13.7145827925946,6574,0,2500-3500,0,0.0671720204620204,11734.6279620383,5.72425650641185,7.12824216169429e-23,62.1027048050083,0.0161036933083479
090603,3417.07489361702,CORDOVA,HUAYTARA,HUANCAVELICA,-75.1519698693533,-14.0115572690549,7183.5297679112,0,2500-3500,0,0.0671720204620204,12344.1577299495,5.44160419297356,6.77626385053817e-23,59.0361977111614,0.0148207807171076
090604,3436.8648018648,HUAYACUNDO ARMA,HUAYTARA,HUANCAVELICA,-75.3117436819168,-13.5548796794636,3922.01844262295,0,2500-3500,0,0.0671720204620204,9082.64640466129,7.39564411838681,9.20957021379473e-23,80.2356608255785,0.0235161561066668
090605,3791.87063095778,LARAMARCA,HUAYTARA,HUANCAVELICA,-75.0572697494765,-13.906009839422,6852.18946188341,0,>3500,0,0.0671720204620204,12012.8174239217,5.59169577723351,6.96316832587726e-23,60.6645477581188,0.0155024811963929
090606,2883.18825380178,OCOYO,HUAYTARA,HUANCAVELICA,-75.0348057984788,-14.023294219607,5734.99245283019,1,2500-3500,174.368145769138,1.06717202046202,10895.6204148685,97.9450439559846,3.02394134584964,351.39760245393,0.430393189714787
090607,4412.57168256021,PILPICHACA,HUAYTARA,HUANCAVELICA,-74.9462178986776,-13.4094670659734,22527.4211234443,7,>3500,310.732416357906,7.06717202046202,27688.0490854827,255.242686064417,103.168542058064,475.000951022883,0.99087470923672
090608,4014.56604257502,QUERCO,HUAYTARA,HUANCAVELICA,-74.8827255473159,-13.8828482105036,9809.86559594252,0,>3500,0,0.0671720204620204,14970.4935579809,4.48696098107003,5.58747575467914e-23,48.6792324849277,0.010498095223702
090609,3244.64069423929,QUITO-ARMA,HUAYTARA,HUANCAVELICA,-75.4060072479506,-13.5386368130657,5606.19645293315,0,2500-3500,0,0.0671720204620204,10766.8244149715,6.23879594141206,7.7689824378008e-23,67.6849652446935,0.0184242213379787
090610,4113.34315169367,SAN ANTONIO DE CUSICANCHA,HUAYTARA,HUANCAVELICA,-75.2376818210347,-13.4654163478982,11213.2226804124,1,>3500,89.1804281874143,1.06717202046202,16373.8506424507,65.175385055442,2.01221556130385,233.829840923714,0.276245471399353
090611,3791.51949189663,SAN FRANCISCO DE SANGAYAICO,HUAYTARA,HUANCAVELICA,-75.1672822900506,-13.7265351763888,8268.28472906404,0,>3500,0,0.0671720204620204,13428.9126911024,5.0020446187372,6.22889370978044e-23,54.2673970027308,0.0128232036858151
